Airport,Latitude,Longitude
ABE,40.65209961,-75.44080353
ABI,32.41130066,-99.68190002
ABQ,35.040199,-106.609001
ABR,45.44910049,-98.42179871
ABY,31.53549957,-84.19450378
ACK,41.25310135,-70.06020355
ACT,31.61129951,-97.23049927
ACV,40.978101,-124.109
ACY,39.45759964,-74.57720184
ADK,51.87799835,-176.6459961
ADQ,57.75,-152.4940033
AEX,31.32740021,-92.54979706
AGS,33.36989975,-81.96450043
AKN,58.67679977,-156.6490021
ALB,42.74829865,-73.80169678
ALO,42.55709839,-92.40029907
AMA,35.219398,-101.706001
ANC,61.17440033,-149.9960022
APN,45.0780983,-83.56030273
ART,43.9919014,-76.021698
ASE,39.22320175,-106.8690033
ATL,33.6367,-84.428101
ATW,44.2580986,-88.51909637
ATY,44.91400146,-97.15470123
AUS,30.19449997,-97.66989899
AVL,35.43619919,-82.54180145
AVP,41.33850098,-75.7233963
AZA,33.30780029,-111.6549988
AZO,42.23490143,-85.55210114
BDL,41.93889999,-72.68319702
BET,60.77980042,-161.8379974
BFF,41.87400055,-103.5960007
BFL,35.43360138,-119.0569992
BFM,30.62680054,-88.06809998
BGM,42.20869827,-75.97979736
BGR,44.80739975,-68.82810211
BHM,33.56290054,-86.75350189
BIL,45.807701109999996,-108.5429993
BIS,46.77270126,-100.7460022
BJI,47.50939941,-94.93370056
BKG,36.532082,-93.200544
BLI,48.7928009,-122.538002
BLV,38.5452,-89.835197
BMI,40.47710037,-88.91590118
BNA,36.12450027,-86.67819977
BOI,43.5644,-116.223
BOS,42.36429977,-71.00520325
BPT,29.95079994,-94.02069855
BQK,31.25880051,-81.46649933
BQN,,
BRD,46.39830017,-94.13809967
BRO,25.90679932,-97.42590332
BRW,71.285402,-156.766008
BTM,45.95479965,-112.4970016
BTR,30.533199,-91.149597
BTV,44.47190094,-73.15329742
BUF,42.94049835,-78.73220062
BUR,34.20069885,-118.3590012
BWI,39.1754,-76.668297
BZN,45.77750015,-111.1529999
CAE,33.93880081,-81.11949921
CAK,40.91609955,-81.44219971
CDC,37.70100021,-113.098999
CDV,60.4917984,-145.4779968
CGI,37.22529984,-89.57080078
CHA,35.03530121,-85.20379639
CHO,38.1385994,-78.45290375
CHS,32.89860153,-80.04049683
CID,41.88470078,-91.71080017
CIU,46.25080109,-84.47239685
CKB,39.29660034,-80.22810364
CLE,41.4117012,-81.84980011
CLL,30.58860016,-96.36380005
CLT,35.2140007,-80.94309998
CMH,39.998001,-82.891899
CMI,40.03919983,-88.27809906
CMX,47.16839981,-88.4890976
CNY,38.75500107,-109.7549973
COD,44.52019882,-109.0240021
COS,38.805801,-104.700996
COU,38.81809998,-92.21959686
CPR,42.908001,-106.463997
CRP,27.77039909,-97.50119781
CRW,38.37310028,-81.59320068
CSG,32.5163002,-84.93890381
CVG,39.04880142,-84.6678009
CWA,44.77759933,-89.66680145
CYS,41.15570068,-104.8119965
DAB,29.179899,-81.058098
DAL,32.847099,-96.851799
DAY,39.90240097,-84.2193985
DBQ,42.40200043,-90.70950317
DCA,38.8521,-77.037697
DEN,39.86169815,-104.6729965
DFW,32.896801,-97.038002
DHN,31.32130051,-85.44960022
DLG,59.04470062,-158.5050049
DLH,46.84209824,-92.19360352
DRO,37.1515007,-107.7539978
DRT,29.37420082,-100.927002
DSM,41.5340004,-93.6631012
DTW,42.21239853,-83.35340118
DVL,48.11420059,-98.90879822
EAR,,
EAU,44.86579895,-91.48429871
ECP,30.357106,-85.795414
EGE,39.64260101,-106.9179993
EKO,40.82490158,-115.7919998
ELM,42.15990067,-76.89160156
ELP,31.80719948,-106.3779984
ERI,42.08312701,-80.17386675
ESC,45.72269821,-87.09369659
EUG,44.12459946,-123.211998
EVV,38.03699875,-87.53240204
EWN,35.07300186,-77.04290009
EWR,40.69250107,-74.16870117
EYW,24.55610085,-81.75959778
FAI,64.81510162,-147.8560028
FAR,46.92070007,-96.81580353
FAT,36.77619934,-119.7180023
FAY,34.99119949,-78.88030243
FCA,48.3105011,-114.2559967
FLG,35.13850021,-111.6709976
FLL,26.072599,-80.152702
FLO,34.1853981,-79.72389984
FNT,42.9654007,-83.74359894
FSD,43.58200073,-96.74189758
FSM,35.33660126,-94.36740112
FWA,40.97850037,-85.19509888
GCC,44.34889984,-105.5390015
GCK,37.92750168,-100.723999
GEG,47.61989975,-117.5339966
GFK,47.949299,-97.176102
GGG,32.38399887,-94.71150208
GJT,39.12239838,-108.5270004
GNV,29.69009972,-82.27179718
GPT,30.40730095,-89.07009888
GRB,44.48509979,-88.12960052
GRI,40.96749878,-98.30960083
GRK,31.06719971,-97.8289032
GRR,42.88079834,-85.52279663
GSO,36.09780121,-79.93730164
GSP,34.89569855,-82.21890259
GST,58.4253006,-135.7070007
GTF,47.48199844,-111.3710022
GTR,33.45029831,-88.59140015
GUC,38.53390121,-106.9329987
GUM,,
HDN,40.48120117,-107.2180023
HGR,39.707901,-77.72949982
HHH,32.22439957,-80.69750214
HIB,47.38660049,-92.83899689
HLN,46.60680008,-111.9830017
HNL,21.32062,-157.924228
HOB,32.6875,-103.2170029
HOU,29.64539909,-95.27890015
HPN,41.06700134,-73.70760345
HRL,26.22850037,-97.65440369
HSV,34.6371994,-86.77510071
HTS,38.36669922,-82.55799866
HVN,41.26369858,-72.88680267
HYA,41.66930008,-70.28040314
HYS,38.84220123,-99.27320099
IAD,38.94449997,-77.45580292
IAG,43.1072998,-78.94619751
IAH,29.9843998,-95.34140015
ICT,37.649899,-97.433098
IDA,43.514599,-112.070999
IFP,,
ILM,34.27059937,-77.90260315
IMT,45.81840134,-88.11450195
IND,39.7173,-86.294403
INL,48.56620026,-93.40309906
ISN,48.17789841,-103.6419983
ISP,40.79520035,-73.10019684
ITH,42.49100113,-76.45839691
ITO,19.72139931,-155.0480042
JAC,43.6072998,-110.737999
JAN,32.31119919,-90.07589722
JAX,30.49410057,-81.68789673
JFK,40.63980103,-73.77890015
JLN,37.15179825,-94.49829865
JMS,46.92969894,-98.67819977
JNU,58.35499954,-134.576004
KOA,19.738783,-156.045603
KTN,55.35559845,-131.7140045
LAN,42.77870178,-84.58740234
LAR,41.31209946,-105.6750031
LAS,36.08010101,-115.1520004
LAW,34.56769943,-98.41660309
LAX,33.94250107,-118.4079971
LBB,33.663601,-101.822998
LBE,40.27590179,-79.40480042
LBF,41.12620163,-100.6839981
LBL,37.0442009,-100.9599991
LCH,30.12610054,-93.22329712
LCK,39.813801,-82.927803
LEX,38.03649902,-84.60590363
LFT,30.20529938,-91.98760223
LGA,40.77719879,-73.87259674
LGB,33.81769943,-118.1520004
LIH,21.97599983,-159.3390045
LIT,34.72940063,-92.22429657
LNK,40.85100174,-96.75920105
LRD,27.54380035,-99.46160126
LSE,43.879002,-91.256699
LWB,37.85829926,-80.39949799
LWS,46.37450027,-117.0149994
LYH,37.3266983,-79.20040131
MAF,31.94249916,-102.2020035
MBS,43.53290176,-84.07959747
MCI,39.2976,-94.713898
MCO,28.42939949,-81.30899811
MDT,40.19350052,-76.76339722
MDW,41.785999,-87.752403
MEI,32.33259964,-88.75189972
MEM,35.04240036,-89.97669983
MFE,26.17580032,-98.23860168
MFR,42.37419891,-122.8730011
MGM,32.30059814,-86.39399719
MHK,39.14099884,-96.67079926
MHT,42.932598,-71.435699
MIA,25.79319954,-80.29060364
MKE,42.94720078,-87.89659882
MKG,43.16949844,-86.23819733
MLB,28.10280037,-80.64530182
MLI,41.44850159,-90.50749969
MLU,32.51089859,-92.03769684
MMH,37.62409973,-118.8379974
MOB,30.69120026,-88.24279785
MOT,48.25939941,-101.2799988
MQT,46.35359955,-87.395401
MRY,36.5870018,-121.8430023
MSN,43.13990021,-89.33750153
MSO,46.91630173,-114.0910034
MSP,44.882,-93.221802
MSY,29.99340057,-90.25800323
MTJ,38.50979996,-107.8939972
MVY,41.39310074,-70.61430359
MYR,33.67969894,-78.92829895
OAJ,34.82920074,-77.61209869
OAK,37.721298,-122.221001
OGD,41.19589996,-112.012001
OGG,20.8986,-156.429993
OGS,44.68190002,-75.46549988
OKC,35.39310074,-97.60070038
OMA,41.3032,-95.894096
OME,64.5121994,-165.4450073
ONT,34.05599976,-117.6009979
ORD,41.9786,-87.9048
ORF,36.89459991,-76.20120239
ORH,42.26729965,-71.8757019
OTH,43.417099,-124.2460022
OTZ,66.88469696,-162.598999
OWB,37.74010086,-87.16680145
PAE,47.90629959,-122.2819977
PAH,37.06079865,-88.77380371
PBG,44.65090179,-73.4681015
PBI,26.68320084,-80.09559631
PDX,45.58869934,-122.5979996
PGD,26.92020035,-81.9905014
PGV,35.6352005,-77.38529968
PHF,37.13190079,-76.49299622
PHL,39.87189865,-75.2410965
PHX,33.43429947,-112.012001
PIA,40.66419983,-89.69329834
PIB,31.46710014,-89.33709717
PIE,27.91020012,-82.68740082
PIH,42.90980148,-112.5960007
PIR,44.38270187,-100.2860031
PIT,40.49150085,-80.23290253
PLN,45.57089996,-84.79669952
PNS,30.47340012,-87.18659973
PPG,,
PRC,34.65449905,-112.4199982
PSC,46.26470184,-119.1190033
PSE,,
PSG,56.80170059,-132.9450073
PSM,43.07789993,-70.82330322
PSP,33.82970047,-116.5070038
PUB,38.28910065,-104.4970016
PVD,41.732601,-71.420403
PVU,40.21920013,-111.7229996
PWM,43.64619827,-70.30930328
RAP,44.04529953,-103.0569992
RDD,40.50899887,-122.2929993
RDM,44.2541008,-121.1500015
RDU,35.87760162,-78.78749847
RFD,42.19540024,-89.09719849
RHI,45.63119888,-89.46749878
RIC,37.50519943,-77.31970215
RKS,41.5942,-109.065001
RNO,39.49909973,-119.7679977
ROA,37.3255,-79.975403
ROC,43.1189003,-77.67240143
ROW,33.30160141,-104.5309982
RST,43.90829849,-92.5
RSW,26.53619957,-81.75520325
SAF,35.61709976,-106.0889969
SAN,32.73360062,-117.1900024
SAT,29.53370094,-98.46980286
SAV,32.12760162,-81.20210266
SBA,34.42620087,-119.8399963
SBN,41.70869827,-86.31729889
SBP,35.23680115,-120.6419983
SCC,70.19470215,-148.4649963
SCE,40.84930038,-77.84870148
SCK,37.89419937,-121.237999
SDF,38.1744,-85.736
SEA,47.449001,-122.308998
SFB,28.77759933,-81.23750305
SFO,37.61899948,-122.375
SGF,37.24570084,-93.38860321
SGU,37.036389,-113.510306
SHD,38.26380157,-78.89640045
SHV,32.446602,-93.8256
SIT,57.04710007,-135.3619995
SJC,37.362598,-121.929001
SJT,31.35770035,-100.4960022
SJU,,
SLC,40.78839874,-111.9779968
SLN,38.79100037,-97.65219879
SMF,38.69540024,-121.5910034
SMX,34.89889908,-120.4570007
SNA,33.67570114,-117.8679962
SPI,39.84410095,-89.67790221999999
SPN,,
SPS,33.9888,-98.491898
SRQ,27.39539909,-82.55439758
STC,45.54660034,-94.05989838
STL,38.748697,-90.370003
STS,38.50899887,-122.8130035
STT,,
STX,,
SUN,43.50439835,-114.2959976
SUX,42.40259933,-96.38439941
SWF,41.5041008,-74.10479736
SWO,36.16120148,-97.08570099
SYR,43.11119843,-76.10630035
TLH,30.39649963,-84.35030365
TOL,41.58679962,-83.80780029
TPA,27.97550011,-82.53320313
TRI,36.475201,-82.407401
TTN,40.27669907,-74.81349945
TUL,36.19839859,-95.88809967
TUS,32.11610031,-110.9410019
TVC,44.74140167,-85.5821991
TWF,42.4818,-114.487999
TXK,33.45370102,-93.99099731
TYR,32.35409927,-95.40239716
TYS,35.81100082,-83.9940033
UIN,39.94269943,-91.19460297
USA,35.387798,-80.709099
VEL,40.4408989,-109.5100021
VLD,30.78249931,-83.27670288
VPS,30.4832,-86.525398
WRG,56.48429871,-132.3699951
WYS,44.68840027,-111.1179962
XNA,36.281898,-94.306801
YAK,59.50329971,-139.6600037
YNG,41.26070023,-80.67910004
YUM,32.65660095,-114.6060028
